"ID","CF_theta","PW_theta","BW_theta","CF_alpha","PW_alpha","BW_alpha","CF_beta","PW_beta","BW_beta","offset","exponent","r2s","err","CF_1","PW_1","BW_1","CF_2","PW_2","BW_2","CF_3","PW_3","BW_3","CF_4","PW_4","BW_4","CF_5","PW_5","BW_5","CF_6","PW_6","BW_6"
214,NA,NA,NA,10.8946370364424,0.64694452645705,1.82681410880206,22.1388963466618,0.2465543748049,3.99585582061632,0.791988568436158,1.15372791332819,0.994274682555286,0.0217708344819206,10.8946370364424,0.64694452645705,1.82681410880206,14.8647836445219,0.217801162963681,4.55075520669561,22.1388963466618,0.2465543748049,3.99585582061632,32.9777626697696,0.162040134408605,1,NA,NA,NA,NA,NA,NA
215,NA,NA,NA,9.76475196867091,0.52510178387923,1.07203928542067,16.1253080236231,0.0896935276053582,7.56583164505815,1.0888160667632,1.21413729044212,0.988807639424813,0.0343957615784851,9.76475196867091,0.52510178387923,1.07203928542067,11.5464829261552,0.453357506924131,1.41238060065981,16.1253080236231,0.0896935276053582,7.56583164505815,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,7.51128846783878,0.441726606798141,1.26709166332631,10.0323213836274,0.979967918573208,1.82414333547081,14.5676160711796,0.491011729987474,6.92274642870095,1.56660545491437,1.57069175885618,0.992398641126828,0.0398637332111535,7.51128846783878,0.441726606798141,1.26709166332631,10.0323213836274,0.979967918573208,1.82414333547081,14.5676160711796,0.491011729987474,6.92274642870095,19.8160415019126,0.275819057932534,1.10503911634987,NA,NA,NA,NA,NA,NA
217,5.0469893712371,0.222006291021804,1,8.95988716831482,0.765338267786076,2.50772546944071,17.3240624823381,0.267415076689859,4.29601742261129,1.52046019525257,1.68414286777744,0.98989910692699,0.0446251482680864,5.0469893712371,0.222006291021804,1,8.95988716831482,0.765338267786076,2.50772546944071,12.1721571277153,0.278755253892908,4.3455311755353,17.3240624823381,0.267415076689859,4.29601742261129,38.9999999999359,0.218958555624625,2.9238029499064,NA,NA,NA
218,NA,NA,NA,9.14437603006309,0.694820900072483,1.82943335098063,16.2420691690893,0.19220397811291,3.80546221042914,1.11559336879455,1.49946709808098,0.994433436150507,0.0276182584450765,9.14437603006309,0.694820900072483,1.82943335098063,10.7493969466566,0.433518031770079,1,16.2420691690893,0.19220397811291,3.80546221042914,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,NA,NA,NA,10.0600967105198,0.418984920936875,2.59663375468057,22.1887502418022,0.411706686328758,3.89617840147701,1.94953507049515,1.80576742402261,0.995395342289231,0.028182659613502,10.0600967105198,0.418984920936875,2.59663375468057,12.5515669242333,0.220347075910781,1.61611829023492,18.9403609210534,0.315705366709253,5.22760295009588,22.1887502418022,0.411706686328758,3.89617840147701,NA,NA,NA,NA,NA,NA
220,7.40575089843783,0.249929435245211,1.4180394626978,9.4745658574721,0.532013181302892,1.4179867758705,15.7923386028104,0.20467413773772,4.69478999057012,1.32897490991422,1.63724245458261,0.997489884503994,0.0201123576749648,7.40575089843783,0.249929435245211,1.4180394626978,9.4745658574721,0.532013181302892,1.4179867758705,15.7923386028104,0.20467413773772,4.69478999057012,30.2556291529725,0.13537763757505,2.24794471721458,NA,NA,NA,NA,NA,NA
221,5.87737360903775,0.176555713519367,1.99027715598369,8.88610231330027,0.511277223849284,1.06985354423986,17.7521103584998,0.121414121561893,1,1.22060598228298,1.42296252490299,0.995492135386663,0.0222342350133871,5.87737360903775,0.176555713519367,1.99027715598369,8.88610231330027,0.511277223849284,1.06985354423986,15.9165500300841,0.11453963748765,3.7401219418243,17.7521103584998,0.121414121561893,1,35.1471188931904,0.107898021206814,4.03764979305009,NA,NA,NA
222,5.99673089269357,0.166553256325017,1.99830143331091,9.37160855724593,0.417658647767977,1.70703003596777,NA,NA,NA,1.18552278141424,1.45791100389914,0.993330384710222,0.0281091353544486,5.99673089269357,0.166553256325017,1.99830143331091,9.37160855724593,0.417658647767977,1.70703003596777,31.683532332252,0.1621321451891,1.61693347921857,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,NA,NA,NA,10.2939383037863,0.327830580406572,3.08272195299289,20.512605772394,0.328107153358701,6.85215190453711,1.58557861645293,1.80779810879502,0.996415107873041,0.025248860861873,10.2939383037863,0.327830580406572,3.08272195299289,15.5608431340953,0.290700385607109,3.32300495480003,20.512605772394,0.328107153358701,6.85215190453711,33.178426027973,0.176331024178169,1.16265567379117,NA,NA,NA,NA,NA,NA
224,4.46247986669555,0.0947519529187399,4.72117459617046,9.32500375099165,0.236932098619242,1.38506314068768,NA,NA,NA,1.00480573106675,1.09272506843359,0.988533240174685,0.0302540994738014,4.46247986669555,0.0947519529187399,4.72117459617046,9.32500375099165,0.236932098619242,1.38506314068768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,7.20002340233344,0.318021665252876,1.60664037162627,9.44068800344864,0.682001696795002,1.56886484264516,16.1470142010465,0.265364924236166,2.35019248729376,1.62553589258544,1.53331644139426,0.994832623330619,0.0294891059975178,7.20002340233344,0.318021665252876,1.60664037162627,9.44068800344864,0.682001696795002,1.56886484264516,12.5854485766167,0.482115358902123,4.07692879569663,16.1470142010465,0.265364924236166,2.35019248729376,17.835914574119,0.225872750832168,1.60939301441016,21.1882337032079,0.254993690477711,4.2424927938798
226,7.45203461551703,0.413220283476792,7.14481640764538,NA,NA,NA,NA,NA,NA,0.283113274126197,0.437571921729163,0.785753193530915,0.107061700788691,7.45203461551703,0.413220283476792,7.14481640764538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,NA,NA,NA,9.36724630031193,0.889025282063941,2.21710347810005,16.3564605430747,0.147632288296327,1.47753977242546,0.954382101293718,1.1767588031211,0.992453845871903,0.0281992104438328,9.36724630031193,0.889025282063941,2.21710347810005,16.3564605430747,0.147632288296327,1.47753977242546,19.1431632085892,0.136312036382941,3.69192150769511,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,7.88571105567116,0.12062594015865,1.34208657746781,10.4063067372679,0.599504577734172,1.7487200973599,20.236322571287,0.215714696141485,5.51179965070527,1.46300835014463,1.75538800209551,0.997396313959447,0.0202276512945897,7.88571105567116,0.12062594015865,1.34208657746781,10.4063067372679,0.599504577734172,1.7487200973599,20.236322571287,0.215714696141485,5.51179965070527,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,NA,NA,NA,9.87246226827772,0.254698106653049,1.75738754123301,17.9234340280292,0.14019392389047,8,1.45198628621093,1.57207133462933,0.995220240257711,0.0269961517664177,9.87246226827772,0.254698106653049,1.75738754123301,17.9234340280292,0.14019392389047,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,NA,NA,NA,11.0234387837493,0.650179925992184,1.98769180343842,NA,NA,NA,1.20926063195493,1.28516618900619,0.975922238879096,0.0517176387863667,11.0234387837493,0.650179925992184,1.98769180343842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,NA,NA,NA,9.15933696577351,0.221855803171489,1.50204648623773,13.0205596339403,0.333403133063777,4.09369020230343,1.53799244738345,1.68228033911875,0.996197673174355,0.0250627403404195,9.15933696577351,0.221855803171489,1.50204648623773,13.0205596339403,0.333403133063777,4.09369020230343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,NA,10.4013583499976,0.516566107050082,1.00000000000011,NA,NA,NA,1.04431222199318,1.30557283482056,0.995309008998395,0.022105477639841,9.90437212204758,0.49486724737704,2.24490425988731,10.4013583499976,0.516566107050082,1.00000000000011,30.8497841692404,0.156780510678332,1.14512564229529,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,7.08923630213261,0.290769932245111,1.10728221496518,9.25148500808104,0.249468754498147,2.8486967930929,13.1040490249602,0.33222364299691,3.35203133004866,1.22339445058424,1.38737658723621,0.994844525226149,0.0268989608650281,7.08923630213261,0.290769932245111,1.10728221496518,9.25148500808104,0.249468754498147,2.8486967930929,13.1040490249602,0.33222364299691,3.35203133004866,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,NA,NA,NA,10.1209092204038,0.601656667022215,1.35845044713281,NA,NA,NA,1.15050765465649,1.26839766093431,0.988338206735256,0.0333366336179166,10.1209092204038,0.601656667022215,1.35845044713281,12.12807639439,0.273257318727015,1.59766785866671,37.5479654008641,0.114094043879224,7.50569231736639,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,6.53004642209874,0.405872358111293,2.5658311801161,9.15706819694165,0.82044825395591,1.29065013686045,NA,NA,NA,1.19569191486405,1.30345651789471,0.99120167463521,0.0360476254376569,6.53004642209874,0.405872358111293,2.5658311801161,9.15706819694165,0.82044825395591,1.29065013686045,10.6054713939198,0.687615291273178,1.14405784982209,NA,NA,NA,NA,NA,NA,NA,NA,NA
